id,qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level,created_at,updated_at
002a0c5a-6046-4ac7-b635-c99c696defa5,56,생활 응급,저체온증 의심 시?,"[""민간요법을 따르면 대부분 저절로 낫는다"",""젖은 옷 제거·마른 담요·서서히 따뜻하게"",""알코올 제공"",""뜨거운 목욕으로 급가온""]",1,이물을 더 깊이 밀지 않도록 억지로 삼키거나 빼지 말고 전문 도움을 받으세요.,급격한 가온·알코올은 위험합니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
006e604b-0f19-4e4b-ac1a-6709ab8a4284,6,감염병·위생·식품 안전,식중독(구토·설사) 의심 시 우선 권장되는 대처는?,"[""지사제를 바로 먹는다"",""24시간 완전 금식한다"",""수분·전해질 보충을 우선한다"",""지사제와 항생제를 함께 먹으면 빨리 회복된다""]",2,감기의 주원인(바이러스)과 항생제가 대상(세균)인 점을 구분해 보세요.,탈수를 막는 수분·전해질 보충이 최우선입니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
00cdb63c-e057-465b-80e7-f39d7fca4871,35,민간요법·오해,고열일 때 알코올로 몸을 닦아 식힌다?,"[""효과적이다"",""흡수·자극 위험이 있어 권장되지 않는다"",""미지근한 물보다 낫다"",""소주를 붓는 것이 가장 안전한 소독법이다""]",1,"깨끗한 물로 씻은 뒤 적절한 소독제를 사용하고, 자극적인 음용 알코올은 피하세요.",미지근한 물수건·실내 온도 조절 등 안전한 방법을 쓰세요.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
01588ac7-80bb-4257-961f-3b04c99675d3,86,민간요법·오해,급성 염좌 초기엔?,"[""온찜질"",""냉찜질이 일반적"",""민간요법을 따르면 대부분 저절로 낫는다"",""무조건 운동""]",1,"민간요법보다 안전·근거 중심 지침을 우선하고, 절개·불명확한 소독·강한 조작은 피하세요.",부기·통증을 줄입니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
0184a4ab-9cc9-4eb3-b6dc-d56818d30d34,159,민간요법·오해,운동 전 준비로 옳은 것은?,"[""민간요법을 따르면 대부분 저절로 낫는다"",""가벼운 워밍업·준비운동"",""장시간 스트레칭만"",""바로 전력 질주""]",1,"민간요법보다 안전·근거 중심 지침을 우선하고, 절개·불명확한 소독·강한 조작은 피하세요.",점진적 준비로 부상 예방에 도움이 됩니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
01eaae63-8b05-49c4-bc4c-a03e423a6f8e,30,민간요법·오해,실내에서 갑자기 어지럽고 식은땀이 흐른다. 잘못된 대처는?,"[""수분 섭취"",""민간요법을 따르면 대부분 저절로 낫는다"",""안전한 곳에 앉아 휴식"",""운전해서 바람 쐬러 나간다""]",3,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",어지럼·실신 위험이 있어 운전은 금지입니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
03560152-cf87-4418-a3af-42ed4aef754a,141,구강·눈·피부,화학물질이 눈에 튀었고 렌즈 착용 중이다.,"[""렌즈를 제거하며 15분 이상 세척"",""렌즈를 유지한 채 안약"",""눈을 비빈다"",""수건으로 가볍게만 닦으면 충분하다""]",0,눈은 비비지 말고 렌즈를 제거한 뒤 15분 이상 깨끗한 물로 지속 세척합니다.,"지속 수세가 핵심, 렌즈는 제거합니다.",어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
052fcdaf-a375-4bbe-90de-f788d7f3565c,116,정신건강·생활습관,스트레스 관리로 도움 될 수 있는 것은?,"[""방법이 전혀 없다"",""호흡·운동·수면 관리"",""민간요법을 따르면 대부분 저절로 낫는다"",""단 음료로 해결""]",0,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",기본 생활습관이 큰 비중을 차지합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
075cb056-6db3-4220-a42c-a3aaa0db2f45,186,민간요법·오해,수건·손수건 관리,"[""공동 사용 권장"",""젖은 채 보관"",""개인별 사용·완전 건조"",""민간요법을 따르면 대부분 저절로 낫는다""]",2,"민간요법보다 안전·근거 중심 지침을 우선하고, 절개·불명확한 소독·강한 조작은 피하세요.",습한 환경은 세균 번식을 돕습니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
0a1530b4-83fa-4c8f-b674-0d5d189b937f,157,민간요법·오해,수분 상태를 가늠하는 쉬운 방법은?,"[""민간요법을 따르면 대부분 저절로 낫는다"",""구미 약 먹기"",""갈증 없으면 무조건 충분"",""소변색이 연하면 대체로 충분""]",3,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",연한 색은 대체로 수분 충족 신호입니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
