qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
1,감기·호흡기 오해,감기에 항생제를 먹으면 빨리 낫는다.,"[""대부분 맞다"", ""대부분 아니다"", ""코로나일 때만 맞다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,감기의 주된 원인(바이러스 vs 세균)과 항생제가 작용하는 대상을 구분해 보세요.,"감기의 상당수는 바이러스 원인이어서 항생제가 효과 없고, 오남용은 내성만 늘립니다.",쉬움,1
2,화상·일광화상,가벼운 열탕·접촉 화상 직후 가장 먼저 할 일은?,"[""얼음을 직접 대어 식힌다"", ""흐르는 차가운 물로 10~20분 식힌다"", ""치약/버터를 바른다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,"피부를 안전하게 식히는 표준 응급처치(미지근한 흐르는 물, 충분한 시간)를 떠올리세요. 바르는 민간요법은 피합니다.",차가운 물로 충분히 식히는 것이 표준 응급처치입니다(얼음·연고 금지).,쉬움,1
3,영양·식습관,코피가 날 때 올바른 자세는?,"[""누워서 머리를 뒤로 젖힌다"", ""앉아 상체를 앞으로 숙이고 코 앞부분을 10~15분 눌러준다"", ""목 뒤에 얼음찜질만 한다"", ""머리를 뒤로 젖혀 피가 목으로 넘어가게 한다""]",2,피가 목으로 넘어가지 않도록 머리 방향과 ‘코 앞부분 압박’ 위치를 생각해 보세요.,앞으로 숙여 연부(코 앞부분)를 지속 압박합니다. 피가 목으로 넘어가게 하면 안 됩니다.,쉬움,1
4,눈·귀·피부·자외선,들에서 뱀에 물렸다. 무엇이 옳은가?,"[""상처를 절개해 피를 빼고 지혈대를 꽉 묶는다"", ""움직임 최소화·사지 고정 후 즉시 의료기관으로 이동"", ""상처를 입으로 빨아낸다"", ""독을 빼기 위해 상처를 칼로 절개해 짜낸다""]",2,독이 퍼지지 않게 ‘움직임 최소화·사지 고정’이 핵심입니다. 절개·빨기는 금지입니다.,"움직임 최소화와 사지 고정이 핵심, 지혈대·절개·입으로 빨기는 금지입니다.",쉬움,1
5,감기·호흡기 오해,남은 항생제를 비슷한 증상에 스스로 복용한다.,"[""괜찮다"", ""하면 안 된다"", ""한 번만은 괜찮다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,감기의 주된 원인(바이러스 vs 세균)과 항생제가 작용하는 대상을 구분해 보세요.,항생제는 바이러스성 질환에 듣지 않고 부작용·내성 위험이 큽니다. 처방대로만 복용하세요.,쉬움,1
6,화상·일광화상,식중독(구토·설사) 의심 시 우선 권장되는 대처는?,"[""지사제를 바로 먹는다"", ""수분·전해질 보충을 우선한다"", ""24시간 완전 금식한다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,"탈수 예방이 최우선인지, 증상만 멈추는 것이 우선인지 비교해 보세요.",탈수를 막는 수분·전해질 보충이 최우선입니다.,쉬움,1
7,영양·식습관,벌레에 물려 가려울 때 가장 적절한 대처는?,"[""긁어서 붓기를 빼준다"", ""냉찜질하고 긁지 않는다"", ""바늘로 긁어서 진물 빼기"", ""가려우면 바늘로 긁어 진물을 빼야 낫는다""]",2,긁기·자극은 2차 감염을 부를 수 있어요. 냉찜질·관찰 등 기본 대처를 떠올리세요.,긁으면 2차 감염·염증을 키울 수 있습니다.,쉬움,1
8,눈·귀·피부·자외선,목에 생선가시가 걸렸을 때?,"[""밥을 크게 삼켜 아래로 밀어내면 된다"", ""억지로 삼키지 말고 의료 도움을 받는다"", ""머리를 거꾸로 하고 기침을 멈춘다"", ""밥이나 빵을 크게 삼켜 아래로 밀어내린다""]",2,이물을 더 깊이 밀어 넣는 행동은 위험합니다. 안전한 제거 원칙을 생각해 보세요.,무리한 삼키기는 상처·천공 위험을 높입니다.,쉬움,1
9,감기·호흡기 오해,화상으로 물집이 잡혔다. 어떻게 할까?,"[""터뜨려서 물을 빼고 말린다"", ""스스로 터뜨리지 않는다"", ""칼로 윗껍질을 제거한다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,"피부를 안전하게 식히는 표준 응급처치(미지근한 흐르는 물, 충분한 시간)를 떠올리세요. 바르는 민간요법은 피합니다.",물집은 감염 방지·치유에 도움. 임의로 터뜨리지 않습니다.,쉬움,1
10,화상·일광화상,상처 소독을 위해 소주 등 음용 알코올을 붓는다.,"[""좋다"", ""권장되지 않는다"", ""상처 크면만 좋다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,음용 알코올은 피부를 자극/손상시킬 수 있어요. 세척 후 적절한 소독이 무엇인지 떠올리세요.,조직 손상·자극 위험. 깨끗한 물로 씻고 적절한 소독제를 사용하세요.,쉬움,1
