qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
801,응급상황 대응,119 신고 시 알려야 할 정보는?,"[""이름만 말한다"",""위치, 환자 상태, 연락처를 알린다"",""아무것도 안 말해도 된다"",""전화만 하면 된다""]",1,정확한 정보가 빠른 대응에 중요합니다.,119 신고 시 정확한 위치와 환자 상태를 알려주세요.,쉬움,1
802,응급상황 대응,의식 확인 방법은?,"[""멀리서 지켜본다"",""어깨를 가볍게 두드리며 반응을 확인한다"",""큰 소리로만 부른다"",""확인 안 해도 된다""]",1,반응 확인이 응급처치의 첫 단계입니다.,어깨를 두드리고 소리를 지르며 반응을 확인하세요.,쉬움,1
803,응급상황 대응,AED 사용 전 확인할 것은?,"[""바로 작동시킨다"",""환자가 젖어있거나 금속 위에 있는지 확인"",""확인 불필요"",""의료인만 사용""]",1,감전 위험을 피해야 합니다.,물기를 제거하고 금속 표면을 피해 AED를 사용하세요.,보통,2
804,응급상황 대응,기도 폐쇄 환자가 기침할 수 있다면?,"[""하임리히법을 한다"",""기침을 유도하고 지켜본다"",""등을 세게 친다"",""물을 마시게 한다""]",1,기침이 가능하면 기도가 완전히 막힌 게 아닙니다.,기침할 수 있으면 기침을 격려하며 지켜보세요.,보통,2
805,응급상황 대응,출혈이 심한 환자 응급처치는?,"[""피가 멈출 때까지 기다린다"",""깨끗한 천으로 상처를 세게 누른다"",""상처를 물로 씻는다"",""지혈대를 바로 사용한다""]",1,직접 압박이 지혈의 기본입니다.,출혈 부위를 깨끗한 천으로 세게 눌러 지혈하세요.,쉬움,1
806,응급상황 대응,척추 손상이 의심될 때 대처법은?,"[""환자를 움직인다"",""환자를 움직이지 않고 119에 신고한다"",""환자를 앉힌다"",""목을 움직여 확인한다""]",1,척추 손상 시 움직임이 위험합니다.,척추 손상이 의심되면 환자를 움직이지 말고 119에 신고하세요.,어려움,3
807,응급상황 대응,쇼크 환자의 다리 위치는?,"[""낮게 한다"",""심장보다 높게 올린다"",""상관없다"",""구부린다""]",1,혈액이 심장으로 돌아오도록 합니다.,쇼크 환자의 다리를 올려 혈액 순환을 돕습니다.,보통,2
808,응급상황 대응,심정지 환자 발견 시 가장 먼저 할 일은?,"[""물을 마시게 한다"",""주변에 도움을 요청하고 119 신고"",""혼자 처리한다"",""지켜본다""]",1,빠른 신고가 생존율을 높입니다.,심정지 발견 시 즉시 도움 요청과 119 신고가 우선입니다.,쉬움,1
809,응급상황 대응,화상 시 물집이 생기면?,"[""물집을 터트린다"",""터트리지 않고 병원에 간다"",""연고를 바른다"",""반창고를 붙인다""]",1,물집을 터트리면 감염 위험이 있습니다.,물집은 터트리지 말고 병원에서 치료받으세요.,보통,2
810,응급상황 대응,경련 환자 응급처치는?,"[""입에 물건을 넣는다"",""주변을 치우고 머리를 보호한다"",""환자를 꽉 잡는다"",""물을 마시게 한다""]",1,경련 중 입에 물건을 넣으면 위험합니다.,경련 환자 주변을 안전하게 하고 머리를 보호하세요.,어려움,3
811,응급상황 대응,저혈당 쇼크 증상은?,"[""고열"",""땀, 떨림, 의식 저하"",""기침"",""두드러기""]",1,당이 떨어지면 뇌에 영향을 줍니다.,저혈당 증상은 식은땀, 떨림, 어지러움 등입니다.,보통,2
812,응급상황 대응,저혈당 환자 응급처치는?,"[""인슐린을 준다"",""당분을 섭취시킨다"",""물만 마시게 한다"",""그냥 둔다""]",1,당분 섭취가 필요합니다.,의식이 있는 저혈당 환자에게 사탕이나 주스를 주세요.,쉬움,1
813,응급상황 대응,고열 환자 응급처치는?,"[""이불을 덮는다"",""미지근한 물로 몸을 닦고 해열제 복용"",""찬물에 담근다"",""운동시킨다""]",1,체온을 낮춰야 합니다.,미지근한 물로 몸을 닦고 필요시 해열제를 복용하세요.,쉬움,1
